KUNNR,BELNR,ZUONR,BLART,BLDAT,NETDT,VERZN,S_DMBTR,SGTXT,XBLNR
1213196,9974818956,9974818956,DR,20251213,2026-01-12 00:00:00,-4,1995.31,"",15608627
1213196,9974826882,9974826882,DR,20251217,2026-01-16 00:00:00,-8,472.06,"",15631909
1213196,9974861364,9974861364,DR,20260107,2026-02-06 00:00:00,-29,3450.2000000000003,"",15757424
1303928,9974812189,9974812189,DR,20251209,2026-01-08 00:00:00,0,983.9,"",15565512
1303928,9974812190,9974812190,DR,20251209,2026-01-08 00:00:00,0,353.28000000000003,"",15577148
1303928,9974812211,9974812211,DR,20251209,2026-01-08 00:00:00,0,1063.77,"",15588944
1303928,9974824344,9974824344,DR,20251216,2026-01-15 00:00:00,-7,1506.4,"",15608669
1303928,9974824370,9974824370,DR,20251216,2026-01-15 00:00:00,-7,1120.6200000000001,"",15620237
1303928,9974836614,9974836614,DR,20251222,2026-01-21 00:00:00,-13,402.05,"",15662996
1303928,9974836618,9974836618,DR,20251222,2026-01-21 00:00:00,-13,2158.26,"",15675766
1303928,9974857740,9974857740,DR,20260105,2026-02-04 00:00:00,-27,2329.7200000000003,"",15736809
1313282,9974751567,"",RV,20251103,2025-11-03 00:00:00,66,-17536.86,"",VR_GR11_02ONNR
1313282,9974754641,9974754641,DG,20251105,2025-11-05 00:00:00,64,-3892.34,"",PR_GR11_10_ONNR
1313282,9974754668,9974754668,DG,20251105,2025-11-05 00:00:00,64,-32010,"",PR_GR11_09_ONNR
1313282,9974757465,9974757465,DG,20251107,2025-11-07 00:00:00,62,-3395,"",PR_GR11_11_ONNR
1313282,9974757603,9974757603,DG,20251107,2025-11-07 00:00:00,62,-127.68,"",PR_GR11_13_ONNR
1313282,9974757694,9974757694,DG,20251107,2025-11-07 00:00:00,62,-250,"",PR_GR11_16_ONNR
1313282,9974757777,9974757777,DG,20251107,2025-11-07 00:00:00,62,-6790,"",PR_GR11_19_ONNR
1313282,9974757846,9974757846,DG,20251107,2025-11-07 00:00:00,62,-500,"",PR_GR11_21_ONNR
1313282,9974759705,9974759705,DR,20251108,2026-02-06 00:00:00,-29,593191.01,"",SFA101703145
1313282,9974761162,9974761162,DG,20251110,2025-11-10 00:00:00,59,-64,"",PR_GR11_29_ONNR
1313282,9974761352,9974761352,DG,20251110,2025-11-10 00:00:00,59,-250,"",PR_GR11_34_ONNR
1313282,9974761385,9974761385,DG,20251110,2025-11-10 00:00:00,59,-120,"",PR_GR11_36_ONNR
1313282,9974761520,9974761520,DG,20251110,2025-11-10 00:00:00,59,-1079.6100000000001,"",PR_GR11_43_ONNR
1313282,9974764680,9974764680,DR,20251112,2026-02-10 00:00:00,-33,43996.65,"",SFA101703166
1313282,9974765650,9974765650,DG,20251112,2025-11-12 00:00:00,57,-700,"",PR_WN11_12_NKNR
1313282,9974765681,9974765681,DG,20251112,2025-11-12 00:00:00,57,-1765.4,"",PR_WN11_12_NKNR
1313282,9974765748,9974765748,DG,20251112,2025-11-12 00:00:00,57,-439.28000000000003,"",PR_WN11_15_NKNR
1313282,9974768415,9974768415,DR,20251113,2026-02-11 00:00:00,-34,126873.40000000001,"",SFA1903050
1313282,9974768416,9974768416,DR,20251113,2026-02-11 00:00:00,-34,11773.51,"",SFA1903060
1313282,9974768417,9974768417,DR,20251113,2026-02-11 00:00:00,-34,20895.29,"",SFA101703185
1313282,9974774342,"",RV,20251118,2025-11-18 00:00:00,51,-4283.92,"",VR_WN11_01NKNR
1313282,9974775518,9974775518,DG,20251118,2025-11-18 00:00:00,51,-11640,"",PR_WN11_23_NKNR
1313282,9974778927,9974778927,DR,20251120,2026-02-18 00:00:00,-41,56881.47,"",SFA101703189
1313282,9974780086,9974780086,DG,20251120,2025-11-20 00:00:00,49,-3865.4500000000003,"",PR_GR11_128_ONNR
1313282,9974785676,9974785676,DG,20251124,2025-11-24 00:00:00,45,-448,"",PR_GR11_512_ONNR
1313282,9974801741,9974801741,DG,20251203,2025-12-03 00:00:00,36,-304,"",PR_GR12_70_ONNR
1313282,9974802571,9974802571,DG,20251203,2025-12-03 00:00:00,36,-14550,"",PR_GR12_75_ONNR
1313282,9974804462,9974804462,DG,20251204,2025-12-04 00:00:00,35,-1126.44,"",PR_GR12_97_ONNR
1313282,9974806279,9974806279,DG,20251205,2025-12-05 00:00:00,34,-2725.68,"",PR_GR12_116_ONNR
1313282,9974834607,9974834607,DG,20251222,2025-12-22 00:00:00,17,-102.15,"",PR_GR12_227_ONNR
1313282,9974834642,9974834642,DG,20251222,2025-12-22 00:00:00,17,-4365,"",PR_GR12_232_ONNR
1313282,9974835150,9974835150,DG,20251222,2025-12-22 00:00:00,17,-400,"",PR_GR12_234_ONNR
1313282,9974835488,9974835488,DR,20251222,2026-03-22 00:00:00,-73,734456.13,"",SFA101703286
1313282,9974835742,9974835742,DG,20251222,2025-12-22 00:00:00,17,-700,"",PR_WN12_49_NKNR
1313282,9974838435,9974838435,DG,20251223,2025-12-23 00:00:00,16,-400,"",PR_GR12_245_ONNR
1313282,9974838505,9974838505,DG,20251223,2025-12-23 00:00:00,16,-250,"",PR_GR12_514_ONNR
1313282,9974838508,9974838508,DG,20251223,2025-12-23 00:00:00,16,-6984,"",PR_GR12_242_ONNR
1313282,9974839322,9974839322,DG,20251223,2025-12-23 00:00:00,16,-1689.66,"",PR_GR12_547_ONNR
1313282,9974839466,9974839466,DG,20251223,2025-12-23 00:00:00,16,-1285.25,"",PR_GR12_522_ONNR
1313282,9974839677,9974839677,DG,20251223,2025-12-23 00:00:00,16,-208,"",PR_GR12_239_ONNR
1313282,9974846532,9974846532,DG,20251225,2025-12-25 00:00:00,14,-1285.82,"",PR_GR12_559_ONNR
1370308,9974797818,9974797818,DR,20251201,2025-12-31 00:00:00,8,7290.54,วบ 12.12.2025 รช 09.01.2026,OU-50024140
1370308,9974800863,9974800863,DR,20251203,2026-01-02 00:00:00,6,10960.87,วบ 12.12.2025 รช 09.01.2026,OU-25024141
1370308,9974807178,9974807178,DR,20251206,2026-01-05 00:00:00,3,1870.15,วบ 12.12.2025 รช 09.01.2026,25299654
1370308,9974808900,9974808900,DR,20251208,2026-01-07 00:00:00,1,7846.09,วบ 12.12.2025 รช 09.01.2026,25299867
1370308,9974808901,9974808901,DR,20251208,2026-01-07 00:00:00,1,2758.17,วบ 12.12.2025 รช 09.01.2026,25299818
1370308,9974808902,9974808902,DR,20251208,2026-01-07 00:00:00,1,8358.64,วบ 12.12.2025 รช 09.01.2026,25299703
1370308,9974808903,9974808903,DR,20251208,2026-01-07 00:00:00,1,9041.380000000001,วบ 26.12.2025 รช 22.01.2026,25299753
1370308,9974810643,9974810643,DR,20251208,2026-01-07 00:00:00,1,3079.44,วบ 19.12.2025 รช 15.01.2026,OU 50024674
1370308,9974810702,9974810702,DR,20251208,2026-01-07 00:00:00,1,667.2,วบ 19.12.2025 รช 15.01.2026,25300080
1370308,9974811052,9974811052,DR,20251209,2026-01-08 00:00:00,0,11021.86,วบ 19.12.2025 รช 15.01.2026,OU-25024616
1370308,9974817017,9974817017,DR,20251212,2026-01-11 00:00:00,-3,2210.4700000000003,วบ 19.12.2025 รช 15.01.2026,25307317
1370308,9974817018,9974817018,DR,20251212,2026-01-11 00:00:00,-3,9717.89,วบ 19.12.2025 รช 15.01.2026,25307274
1370308,9974817019,9974817019,DR,20251212,2026-01-11 00:00:00,-3,3168.62,วบ 19.12.2025 รช 15.01.2026,25307226
1370308,9974817020,9974817020,DR,20251212,2026-01-11 00:00:00,-3,7815.26,วบ 19.12.2025 รช 15.01.2026,25307201
1370308,9974817021,9974817021,DR,20251212,2026-01-11 00:00:00,-3,405.72,วบ 19.12.2025 รช 15.01.2026,25307117
1370308,9974825690,9974825690,DG,20251217,2025-12-17 00:00:00,22,-830.58,วบ 26.12.2025 รช 22.01.2026,25299753
1370308,9974830056,9974830056,DR,20251219,2026-01-18 00:00:00,-10,16083.710000000001,วบ 26.12.2025 รช 22.01.2026,OU-25025362
1370308,9974833695,9974833695,DR,20251222,2026-01-21 00:00:00,-13,1661.15,วบ 26.12.2025 รช 22.01.2026,OU-25025312
1370308,9974833696,9974833696,DR,20251222,2026-01-21 00:00:00,-13,4401.67,วบ 26.12.2025 รช 22.01.2026,25311957
1370308,9974833697,9974833697,DR,20251222,2026-01-21 00:00:00,-13,8748.19,วบ 26.12.2025 รช 22.01.2026,25312093
1370308,9974833698,9974833698,DR,20251222,2026-01-21 00:00:00,-13,808.32,วบ 26.12.2025 รช 22.01.2026,25312072
1370308,9974833699,9974833699,DR,20251222,2026-01-21 00:00:00,-13,2496.28,วบ 26.12.2025 รช 22.01.2026,25311980
1370308,9974836985,9974836985,DR,20251222,2026-01-21 00:00:00,-13,8865.84,"",OU-50025615
1370308,9974837267,9974837267,DR,20251223,2026-01-22 00:00:00,-14,5497.7,"",OU-25025630
1370308,9974840794,9974840794,DR,20251223,2026-01-22 00:00:00,-14,576,"",25318366
1370308,9974847825,9974847825,DR,20251226,2026-01-25 00:00:00,-17,1091.1000000000001,"",OU-25025843
1370308,9974847826,9974847826,DR,20251226,2026-01-25 00:00:00,-17,2217.02,"",OU-25025845
1370308,9974847827,9974847827,DR,20251226,2026-01-25 00:00:00,-17,9734.33,"",25320929
1370308,9974847828,9974847828,DR,20251226,2026-01-25 00:00:00,-17,6531.58,"",25320843
1370308,9974847829,9974847829,DR,20251226,2026-01-25 00:00:00,-17,10582.92,"",25320898
1370308,9974847830,9974847830,DR,20251226,2026-01-25 00:00:00,-17,10874.89,"",25320869
1370308,9974847831,9974847831,DR,20251226,2026-01-25 00:00:00,-17,405.72,"",25320818
1370308,9974857543,9974857543,DR,20260105,2026-02-04 00:00:00,-27,4373.6,"",OU-25026102
1370308,9974858008,9974858008,DR,20260106,2026-02-05 00:00:00,-28,22249.62,"",OU-26000171
1402768,9974797786,9974797786,DR,20251201,2025-12-31 00:00:00,8,1499.58,"",15546338
1402768,9974797819,9974797819,DR,20251201,2025-12-31 00:00:00,8,1561.22,"",15522959
1402768,9974810644,9974810644,DR,20251208,2026-01-07 00:00:00,1,2539.38,"",15588893
1402768,9974810703,9974810703,DR,20251208,2026-01-07 00:00:00,1,1357.1200000000001,"",15577055
1402768,9974814310,9974814310,DR,20251210,2026-01-09 00:00:00,-1,3392.76,"",15608657
1402768,9974824740,9974824740,DR,20251216,2026-01-15 00:00:00,-7,625.47,"",15620238
1402768,9974824856,9974824856,DR,20251216,2026-01-15 00:00:00,-7,890.97,"",15631921
1402768,9974836986,9974836986,DR,20251222,2026-01-21 00:00:00,-13,2186.18,"",15662888
1402768,9974837067,9974837067,DR,20251222,2026-01-21 00:00:00,-13,1118.74,"",15675888
1402768,9974847238,9974847238,DR,20251225,2026-01-24 00:00:00,-16,1028.97,"",15696954
1402768,9974847278,9974847278,DR,20251225,2026-01-24 00:00:00,-16,7466.32,"",15701812
